model,split,perturbation_type,n,correct,accuracy,avg_level
openthoughts,clean,number_swap,20,9,0.45,2.15
openthoughts,clean,original,20,18,0.9,2.15
openthoughts,clean,surface_noise,20,17,0.85,2.15
openthoughts,contaminated,number_swap,24,11,0.4583333333333333,3.5
openthoughts,contaminated,original,24,19,0.7916666666666666,3.5
openthoughts,contaminated,surface_noise,24,20,0.8333333333333334,3.5
s1,clean,number_swap,20,0,0.0,3.45
s1,clean,original,20,2,0.1,3.45
s1,clean,surface_noise,20,2,0.1,3.45
s1,contaminated,number_swap,4,0,0.0,4.5
s1,contaminated,original,4,0,0.0,4.5
s1,contaminated,surface_noise,4,0,0.0,4.5
tulu,clean,number_swap,20,1,0.05,4.75
tulu,clean,original,20,0,0.0,4.75
tulu,clean,surface_noise,20,0,0.0,4.75
tulu,contaminated,number_swap,32,9,0.28125,3.28125
tulu,contaminated,original,32,10,0.3125,3.28125
tulu,contaminated,surface_noise,32,8,0.25,3.28125
