model,split,perturbation_type,total,nulls,null_pct
openthoughts,clean,number_swap,20,3,15.0
openthoughts,clean,original,20,2,10.0
openthoughts,clean,surface_noise,20,3,15.0
openthoughts,contaminated,number_swap,24,9,37.5
openthoughts,contaminated,original,24,4,16.67
openthoughts,contaminated,surface_noise,24,5,20.83
s1,clean,number_swap,20,20,100.0
s1,clean,original,20,18,90.0
s1,clean,surface_noise,20,18,90.0
s1,contaminated,number_swap,4,4,100.0
s1,contaminated,original,4,4,100.0
s1,contaminated,surface_noise,4,4,100.0
tulu,clean,number_swap,20,5,25.0
tulu,clean,original,20,6,30.0
tulu,clean,surface_noise,20,5,25.0
tulu,contaminated,number_swap,32,2,6.25
tulu,contaminated,original,32,5,15.62
tulu,contaminated,surface_noise,32,2,6.25
