model,split,perturbation_type,math500_id,llm_correct,word_count,uncertainty,hedging,self_correction,math_density,type_token_ratio
openthoughts,contaminated,original,math500_0134,True,991,1,0,0,0.4581231079717457,0.2977667493796526
openthoughts,contaminated,number_swap,math500_0134,False,2120,4,3,3,0.3410377358490566,0.20137420718816068
openthoughts,contaminated,surface_noise,math500_0134,True,1078,0,1,0,0.5139146567717996,0.2942583732057416
openthoughts,contaminated,original,math500_0159,True,759,0,0,0,0.4874835309617918,0.3053691275167785
openthoughts,contaminated,number_swap,math500_0159,False,1314,0,1,0,0.4855403348554033,0.27625354777672656
openthoughts,contaminated,surface_noise,math500_0159,True,746,1,0,0,0.35924932975871315,0.3339041095890411
openthoughts,contaminated,original,math500_0189,True,2198,2,2,0,0.36942675159235666,0.2173458725182863
openthoughts,contaminated,number_swap,math500_0189,False,2098,3,2,1,0.41992373689227835,0.2151195108393552
openthoughts,contaminated,surface_noise,math500_0189,False,2255,3,1,0,0.34811529933481156,0.23392116182572614
openthoughts,contaminated,original,math500_0193,True,1358,2,0,0,0.4484536082474227,0.2358642972536349
openthoughts,contaminated,number_swap,math500_0193,False,1774,1,2,0,0.7841037204058624,0.24720578566732412
openthoughts,contaminated,surface_noise,math500_0193,True,1034,1,1,0,0.2940038684719536,0.24566768603465852
openthoughts,contaminated,original,math500_0255,False,740,0,0,0,0.3783783783783784,0.4016393442622951
openthoughts,contaminated,number_swap,math500_0255,False,657,0,1,0,0.3576864535768645,0.36900369003690037
openthoughts,contaminated,surface_noise,math500_0255,True,813,1,0,0,0.33456334563345635,0.3586800573888092
openthoughts,contaminated,original,math500_0301,True,1598,2,2,0,0.4380475594493116,0.2295302013422819
openthoughts,contaminated,number_swap,math500_0301,False,1117,0,1,0,0.4879140555058192,0.25703200775945684
openthoughts,contaminated,surface_noise,math500_0301,True,1277,0,3,0,0.37823022709475335,0.2594776748104465
openthoughts,contaminated,original,math500_0335,True,1349,0,2,0,0.3810229799851742,0.20706260032102727
openthoughts,contaminated,number_swap,math500_0335,True,2020,1,3,1,0.4757425742574257,0.20892151326933936
openthoughts,contaminated,surface_noise,math500_0335,False,1520,2,1,1,0.5230263157894737,0.25557955363570917
openthoughts,contaminated,original,math500_0358,False,1034,0,1,0,0.6682785299806576,0.28718535469107553
openthoughts,contaminated,number_swap,math500_0358,True,899,0,0,0,0.4560622914349277,0.34067357512953367
openthoughts,contaminated,surface_noise,math500_0358,True,1275,3,2,0,0.5819607843137254,0.2782846715328467
openthoughts,contaminated,original,math500_0428,False,1492,1,1,0,0.8820375335120644,0.31255565449688333
openthoughts,contaminated,number_swap,math500_0428,False,1628,1,2,1,0.6805896805896806,0.2822222222222222
openthoughts,contaminated,surface_noise,math500_0428,True,1431,0,4,0,0.5457721872816212,0.31438127090301005
openthoughts,contaminated,original,math500_0016,True,1220,0,1,0,0.6213114754098361,0.25657298277425206
openthoughts,contaminated,number_swap,math500_0016,False,2105,5,3,0,0.5776722090261283,0.18865030674846625
openthoughts,contaminated,surface_noise,math500_0016,True,1356,2,3,0,0.5825958702064897,0.27427597955706984
openthoughts,contaminated,original,math500_0025,False,1632,0,0,0,0.46017156862745096,0.23627684964200477
openthoughts,contaminated,number_swap,math500_0025,False,2236,3,3,1,0.5720035778175313,0.21667551779075941
openthoughts,contaminated,surface_noise,math500_0025,False,1765,0,1,0,0.46458923512747874,0.23781818181818182
openthoughts,contaminated,original,math500_0053,True,720,0,1,0,0.45555555555555555,0.3385939741750359
openthoughts,contaminated,number_swap,math500_0053,False,1651,0,3,0,0.4015748031496063,0.24305555555555555
openthoughts,contaminated,surface_noise,math500_0053,True,891,1,0,0,0.4489337822671156,0.2566473988439306
openthoughts,contaminated,original,math500_0077,True,406,0,0,0,0.6477832512315271,0.4631578947368421
openthoughts,contaminated,number_swap,math500_0077,True,630,0,0,0,0.5936507936507937,0.40273037542662116
openthoughts,contaminated,surface_noise,math500_0077,True,705,0,2,0,0.4340425531914894,0.3894736842105263
openthoughts,contaminated,original,math500_0199,True,648,1,0,0,0.33024691358024694,0.3462897526501767
openthoughts,contaminated,number_swap,math500_0199,True,520,0,0,0,0.3596153846153846,0.33769063180827885
openthoughts,contaminated,surface_noise,math500_0199,True,685,0,0,0,0.36642335766423356,0.32741935483870965
openthoughts,contaminated,original,math500_0244,True,1007,1,0,0,0.3912611717974181,0.2728260869565217
openthoughts,contaminated,number_swap,math500_0244,True,958,0,1,0,0.37995824634655534,0.27610208816705334
openthoughts,contaminated,surface_noise,math500_0244,True,1183,1,0,1,0.4158918005071851,0.2609942638623327
openthoughts,contaminated,original,math500_0260,True,912,1,0,0,0.5964912280701754,0.276510067114094
openthoughts,contaminated,number_swap,math500_0260,False,1881,4,6,0,0.5486443381180224,0.2705811138014528
openthoughts,contaminated,surface_noise,math500_0260,True,764,0,0,0,0.7159685863874345,0.34201954397394135
openthoughts,contaminated,original,math500_0271,True,1260,1,1,2,0.5214285714285715,0.26871055004508565
openthoughts,contaminated,number_swap,math500_0271,False,1252,0,1,0,0.6277955271565495,0.2654482158398607
openthoughts,contaminated,surface_noise,math500_0271,True,1818,5,4,1,0.4790979097909791,0.21473443746430612
openthoughts,contaminated,original,math500_0300,True,1471,3,0,0,0.11896668932698844,0.2050034746351633
openthoughts,contaminated,number_swap,math500_0300,True,1368,1,0,0,0.10599415204678363,0.20282317979197623
openthoughts,contaminated,surface_noise,math500_0300,True,2736,1,1,0,0.2309941520467836,0.1527464258841234
openthoughts,contaminated,original,math500_0305,True,573,2,0,0,0.6823734729493892,0.41832669322709165
openthoughts,contaminated,number_swap,math500_0305,False,805,2,0,0,0.6695652173913044,0.3517730496453901
openthoughts,contaminated,surface_noise,math500_0305,True,642,0,0,0,0.6433021806853583,0.3929203539823009
openthoughts,contaminated,original,math500_0323,False,2582,10,4,2,0.29047250193648333,0.17573221757322174
openthoughts,contaminated,number_swap,math500_0323,True,3183,4,5,1,0.07351555136663525,0.1187775677378702
openthoughts,contaminated,surface_noise,math500_0323,False,3050,10,6,0,0.08032786885245902,0.14138732160637238
openthoughts,contaminated,original,math500_0368,True,571,0,0,0,0.266199649737303,0.3001949317738791
openthoughts,contaminated,number_swap,math500_0368,True,1283,1,0,1,0.18238503507404522,0.20854700854700856
openthoughts,contaminated,surface_noise,math500_0368,True,834,1,0,0,0.20503597122302158,0.2679296346414073
openthoughts,contaminated,original,math500_0386,True,1224,3,0,0,0.3349673202614379,0.22558340535868626
openthoughts,contaminated,number_swap,math500_0386,True,821,1,0,0,0.34835566382460414,0.29210526315789476
openthoughts,contaminated,surface_noise,math500_0386,True,887,3,0,0,0.3134160090191657,0.2865566037735849
